ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
bangime,Bangime,bang1363,,,,
bambara,Bambara,bamb1269,,,,
bankantey,Bankan_Tey,bank1259,,,,
bentey,Ben_Tey,bent1238,,,,
bunoge,Bunoge,buno1241,,,,
jamsay,Jamsay,jams1239,,,,
mombo,Mombo,momb1254,,,,
najamba,Najamba,bond1248,,,,
nanga,Nanga,nang1261,,,,
pergetegu,Perge_Tegu,perg1234,,,,
tebulure,Tebul_Ure,tebu1239,,,,
tiranigediga,Tiranige_Diga,tira1258,,,,
togokan,Togo_Kan,togo1254,,,,
tommoso,Tommo_So,tomm1242,,,,
torotegu,Toro_Tegu,toro1253,,,,
yandadom,Yanda_Dom,yand1257,,,,
yornoso,Yorno_So,yorn1234,,,,
fulfulde,Fulfulde,maas1239,,,,
jenaama,Jenaama,jena1242,,,,
penange,Penange,pena1270,,,,
songhaikiini,Songhai_Kiini,koyr1240,,,,
songhaisenni,Songhai_Senni,humb1243,,,,
